CODINST;NOMBREINSTITUCION;CODIGOMUNICIPIO;NOMBREMUNICIPIO;DEPARTAMENTO;CALENDARIO;NATURALEZA;JORNADA;EVALUADOS;PROMLECTURACRITICA;PROMMATEMATICA;PROMSOCIALESYCIUDADANAS;PROMCIENCIASNATURALES;PROMINGLES;DESVLECTURACRITICA;DESVMATEMATICA;DESVSOCIALESYCIUDADANAS;DESVCIENCIASNATURALES;DESVINGLES;PERIODO
372;COL MARYMOUNT;5001;MEDELLIN;ANTIOQUIA;B;NO OFICIAL;COMPLETA;52;64,23;64,76;66,26;64,46;82,92;7,99;9,55;7,4;8,1;7,75;20162
380;COL MILIT JOSE MARIA CORDOBA;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;MANANA;78;55,05;53,44;53,14;53,79;55,91;9,35;10,63;11,06;9,09;11,11;20162
398;COL NUESTRA MADRE DE LAS MERCEDES;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;27;63,92;65,88;61,7;62,37;72,14;8,19;7,74;7,5;5,32;12,55;20162
406;COL NUESTRA SENORA DEL ROSARIO DE CHIQUINQUIRA;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;MANANA;20;64,5;61,5;64,35;62,4;68,8;10,91;5,34;7,2;4,96;6,97;20162
422;COL NUESTRA SENORA DE LA PROVIDENCIA;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;14;54,07;53,57;55,07;54,5;62,07;10,31;13,53;10,78;10,36;15,57;20162
430;COL PALERMO DE SAN JOSE;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;92;61,23;60,92;61,32;59,08;70,96;8,81;10,77;8,45;9,13;10,82;20162
448;COL SAGRADOS CORAZONES;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;24;60,95;56,79;60,2;58,62;63,7;6,23;8,41;6,7;5,58;8,94;20162
455;COL SALESIANO EL SUFRAGIO;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;MANANA;89;60,34;59,16;60,33;60,75;66,95;7,65;9,82;10,1;8,22;11,06;20162
463;COL SAN IGNACIO DE LOYOLA;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;146;67,23;74,12;69,31;69,58;78,83;7,02;7,98;6,8;5,39;8,78;20162
471;COL SAN JOS DE LA SALLE;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;95;62,65;63,27;62,18;61,84;71,21;7,3;8,47;8,67;7,14;10,47;20162
489;COL SAN JOSE DE LAS VEGAS;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;99;67,82;66,61;66,98;65,61;78,96;6,29;7,71;7,48;6,13;8,76;20162
497;COL SAN JUAN BOSCO;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;63;63,34;60,61;63,34;62,74;66,74;7,52;6,99;6,92;6,64;10,32;20162
521;COL SANTA MARIA DEL ROSARIO;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;39;60,43;59,38;60,64;59,79;68,97;8,08;8,99;8,49;9,17;12,87;20162
554;COL SANTA TERESITA;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;21;58,8;52,95;55;56,76;61,61;7,24;11,48;7,54;7,29;7,91;20162
588;GIMN LOS CEDROS;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;25;61,12;63,56;60,76;60,92;71,72;7,05;9,27;6,64;6,63;13,25;20162
596;COL GIMN LOS PINARES;5001;MEDELLIN;ANTIOQUIA;B;NO OFICIAL;COMPLETA;58;67,82;69,7;67,96;67,77;82,18;7,25;6,55;5,96;6,81;7,74;20162
638;COL NUEVO CERVANTES CONOCER;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;FIN DE SEMANA;477;45,93;40,62;43,67;43,96;43,84;8,09;9,17;8,61;7,52;8,31;20162
653;INST COLOMBO VENEZOLANO;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;MANANA;52;59,59;56,25;57,88;57,94;66,13;7,29;7,89;8,41;7,71;9,66;20162
687;INST EDUC FEDERICO OZANAM;5001;MEDELLIN;ANTIOQUIA;A;OFICIAL;MANANA;156;57,84;56,03;56,41;56,16;59,13;8,62;10,13;9,54;8,03;11,56;20162
711;INST EDUC SAMUEL BARRIENTOS RESTREPO;5001;MEDELLIN;ANTIOQUIA;A;OFICIAL;MANANA;107;53,13;50,95;51,66;51,56;50,57;7,97;9,44;9,15;7,95;8,37;20162
760;INST JORGE ROBLEDO;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;63;66,5;69,9;66,93;68,82;81,26;7,42;7,61;8,23;7,61;7,7;20162
786;INST EDUC INEM JOSE FELIX DE RESTREPO;5001;MEDELLIN;ANTIOQUIA;A;OFICIAL;MANANA;778;58,86;57,18;57,27;57,2;58,26;8,25;9,19;9,32;8,52;11,3;20162
810;INST EDUC FEDERICO OZANAM;5001;MEDELLIN;ANTIOQUIA;A;OFICIAL;NOCTURNA;41;47,21;43,04;45,17;44,73;45,46;7,56;8,85;8,59;7,3;8,25;20162
836;INST SALESIANO PEDRO JUSTO BERRIO;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;113;62,2;64,26;62,75;63,47;67,49;7,75;9,81;8,68;8,87;11,66;20162
844;INST SAN CARLOS;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;MANANA;164;61,05;62,23;61,03;60,65;66,93;7,78;9,14;8,44;7,49;10,34;20162
851;INST TEC IND PASCUAL BRAVO;5001;MEDELLIN;ANTIOQUIA;A;OFICIAL;TARDE;279;56,34;57,37;55,93;58,34;59,6;7,64;8,73;8,64;7,95;10,77;20162
927;INST EDUC BENJAMIN HERRERA;5001;MEDELLIN;ANTIOQUIA;A;OFICIAL;TARDE;41;52,43;51,36;47,92;50,95;50,68;7,83;8,67;10,33;7,99;9,24;20162
935;INST EDUC GILBERTO ALZATE AVENDAO;5001;MEDELLIN;ANTIOQUIA;A;OFICIAL;MANANA;134;56,81;55,53;54,83;54,52;55,05;8,66;8,44;9,36;7,72;10,21;20162
943;INST EDUC LOLA GONZALEZ;5001;MEDELLIN;ANTIOQUIA;A;OFICIAL;MANANA;224;58,21;55,04;55,98;56,88;56,58;8,04;9,41;8,66;7,83;10,39;20162
968;INST EDUC JOSE ROBERTO VASQUEZ;5001;MEDELLIN;ANTIOQUIA;A;OFICIAL;MANANA;176;53,07;49,23;50,11;52,08;52,13;8,57;10,36;9,62;7,77;9,45;20162
984;INST EDUC LUCRECIO JARAMILLO VELEZ;5001;MEDELLIN;ANTIOQUIA;A;OFICIAL;TARDE;102;61,17;61,57;60,69;60,15;62,06;7,62;9,32;8,16;7,34;11,66;20162
992;INST EDUC MANUEL J. BETANCUR;5001;MEDELLIN;ANTIOQUIA;A;OFICIAL;MANANA;86;57,08;57,09;55,68;55,86;57,62;8,07;8,63;8,12;7,05;8,53;20162
1016;INST EDUC MARCO FIDEL SUAREZ;5001;MEDELLIN;ANTIOQUIA;A;OFICIAL;MANANA;74;57,68;56,51;55,72;55,83;55,01;8,47;11,53;9,04;8,36;9,09;20162
1024;INST EDUC MARCO FIDEL SUAREZ;5001;MEDELLIN;ANTIOQUIA;A;OFICIAL;NOCTURNA;33;47,87;41,93;44,9;47,51;43,42;8,22;9,12;8,92;7,87;8,37;20162
1032;INST EDUC CONCEJO DE MEDELLIN;5001;MEDELLIN;ANTIOQUIA;A;OFICIAL;MANANA;276;57,59;56,22;56,51;56,26;56,28;8,31;10,24;9,24;8,25;10,8;20162
1057;INST EDUC JAVIERA LONDOO;5001;MEDELLIN;ANTIOQUIA;A;OFICIAL;TARDE;201;55,55;50,87;53,06;54,94;54,72;8,27;8,94;7,74;7,11;9,67;20162
1073;LIC SALAZAR Y HERRERA;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;MANANA;438;59,94;58,51;59,62;59,7;63,19;8,31;9,12;8,86;8,12;12,01;20162
1081;LIC SAN RAFAEL;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;44;59,47;57,47;59,81;56,88;60,72;9,81;8,99;9,62;9,49;10,18;20162
1115;COL DE LA UNIVERSIDAD PONTIFICIA BOLIVARIANA;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;MANANA;280;62,11;63,68;64,7;63,76;69,92;7,61;8,33;8,53;7,63;10,27;20162
1123;ESC NORMAL SUPERIOR ANTIOQUE?A;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;71;59,91;57,91;57,9;58,09;63,09;9,55;10,07;8,99;9,19;13,09;20162
1131;COL LA ANUNCIACION;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;MANANA;54;62,03;59,94;58,55;60,62;60,38;7,64;8,07;8,11;6,81;9,17;20162
1156;INST EDUC ESCUELA NORMAL SUPERIOR DE MEDELLIN;5001;MEDELLIN;ANTIOQUIA;A;OFICIAL;MANANA;139;58,7;58,31;56,68;57,41;58,21;7,56;9,15;8,52;7,76;10,6;20162
1164;COL NUESTRA SENORA DE LOURDES;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;49;56,24;53,4;55,46;56,46;54,71;9,04;9,58;8,51;7,64;9,19;20162
1198;SEM MENOR DE LA ARQUIDIOCESIS DE MEDELLIN;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;15;63,86;60,73;61,4;61,6;64,8;5,78;9,61;6,16;6,18;13,21;20162
1206;I. E. ESCUELA NORMAL SUPERIOR DE ABEJORRAL;5002;ABEJORRAL;ANTIOQUIA;A;OFICIAL;COMPLETA;44;55,2;52,31;51,7;56,22;50,13;8,59;10,85;10,37;8,98;10,56;20162
1214;I. E.  MANUEL CANUTO RESTREPO;5002;ABEJORRAL;ANTIOQUIA;A;OFICIAL;COMPLETA;20;50,6;47,2;49;51,6;48,5;6,72;9,35;8,74;6,01;6,34;20162
1222;COLEGIO SAN FERNANDO;5030;AMAGA;ANTIOQUIA;A;OFICIAL;COMPLETA;118;52,16;48,59;49,91;51,51;50,5;9;10,29;10;9,31;9,41;20162
1230;I. E. EDUARDO FERNANDEZ BOTERO;5031;AMALFI;ANTIOQUIA;A;OFICIAL;COMPLETA;73;55,19;56,05;52,39;53,38;54,04;8,18;10,07;10,21;7,51;9,77;20162
1255;LICEO JUAN DE DIOS URIBE;5034;ANDES;ANTIOQUIA;A;OFICIAL;COMPLETA;41;50,87;47,75;47,21;47,43;45,02;6,76;8,78;7,92;7,57;8,35;20162
1263;I. E.  SAN JOSE;5036;ANGELOPOLIS;ANTIOQUIA;A;OFICIAL;COMPLETA;44;51,27;47,81;48,88;49,29;49,06;9,37;11,2;9,98;8,73;8,62;20162
1271;LICEO JESUS MARIA URREA;5040;ANORI;ANTIOQUIA;A;OFICIAL;COMPLETA;74;47,79;43,87;46,35;45,39;44,66;7,58;10,31;9,67;8,54;8,12;20162
1289;LICEO SAN LUIS GONZAGA;5042;SANTAF DE ANTIOQUIA;ANTIOQUIA;A;OFICIAL;TARDE;106;51,93;48,58;49,56;49,57;48,98;8,54;9,91;9,04;7,99;8,46;20162
1297;I.E. JOSE CELESTINO MUTIS;5045;APARTADO;ANTIOQUIA;A;OFICIAL;TARDE;161;52,52;50,77;49,48;51,7;50,15;9,42;10,6;9,99;9,66;10,52;20162
1313;INSTITUTO UNIBAN;5045;APARTADO;ANTIOQUIA;A;NO OFICIAL;COMPLETA;34;63,7;64,7;64,02;62,52;72,17;7,72;9,58;8,14;7,22;8,8;20162
1339;COLEGIO SAN JUAN DE URABA;5659;SAN JUAN DE URABA;ANTIOQUIA;A;OFICIAL;MANANA;88;50,19;46,35;48,64;50,14;47,47;8,92;10,51;9,69;8,05;7,7;20162
1347;I. E. SANTA TERESA;5055;ARGELIA;ANTIOQUIA;A;OFICIAL;COMPLETA;49;51,65;48,38;50,55;51,1;48,16;8,18;9,49;8,82;7,02;7,59;20162
1388;COL LA SALLE;5088;BELLO;ANTIOQUIA;A;NO OFICIAL;COMPLETA;118;62;61,7;60,34;61,43;66,93;7,41;7,97;8,94;7,75;9,68;20162
1396;I.E. FERNANDO VELEZ - SEDE PRINCIPAL;5088;BELLO;ANTIOQUIA;A;OFICIAL;MANANA;143;55,48;51,5;52,21;52,81;52,41;7,76;9,41;9,53;8,05;10,55;20162
1412;COL PARROQUIAL JESUS DE LA BUENA ESPERANZA;5088;BELLO;ANTIOQUIA;A;NO OFICIAL;COMPLETA;83;58,93;55,77;57,24;57,16;62,21;8,56;10,42;11,1;9,83;11,88;20162
1420;COL ATANASIO GIRARDOT;5088;BELLO;ANTIOQUIA;A;OFICIAL;MANANA;89;53,62;50,71;50,97;49,75;52,44;8,93;10,21;10,38;8,96;10,85;20162
1438;IE SUAREZ DE LA PRESENTACION;5088;BELLO;ANTIOQUIA;A;NO OFICIAL;COMPLETA;37;60,97;56,05;58,43;58,94;69,18;8,1;8,41;8,04;6,94;8,79;20162
1446;COLEGIO THEODORO HERTZL;5607;RETIRO;ANTIOQUIA;A;NO OFICIAL;COMPLETA;18;66,27;69,72;68,61;69,94;82,38;5,28;4,48;5,54;5,34;8,36;20162
1453;I. E. PERLA DEL CITARA;5091;BETANIA;ANTIOQUIA;A;OFICIAL;COMPLETA;75;51,1;47,22;48,04;49,16;51,84;7,97;10,52;9,15;8,19;9,56;20162
1461;LICEO SAN JOSE;5093;BETULIA;ANTIOQUIA;A;OFICIAL;COMPLETA;82;49,6;46,01;46,58;46,73;47,79;7,53;9,74;9,75;8,04;8,57;20162
1479;LICEO SAN JOSE DEL CITARA;5101;BOLIVAR;ANTIOQUIA;A;OFICIAL;TARDE;44;55,54;52,52;52,45;52,65;52,65;8,5;10,85;10,55;8,14;8,76;20162
1487;LICEO CACERES;5120;CACERES;ANTIOQUIA;A;OFICIAL;COMPLETA;51;53,39;51,25;52,84;51,15;49,9;8,54;11,53;9,76;7,73;8,45;20162
1495;LICEO JOSE MARIA BERNAL;5129;CALDAS;ANTIOQUIA;A;OFICIAL;MANANA;252;53,82;51,48;50,68;53,23;53,11;8,55;9,57;9,35;8,74;9,79;20162
1503;LICEO PEDRO LUIS ALVAREZ C;5129;CALDAS;ANTIOQUIA;A;OFICIAL;NOCTURNA;62;47,01;42,19;44,33;45,43;46,56;7,53;9,01;8,42;8,26;9,56;20162
1537;COLEGIO NICOLAS GAVIRIA;5138;CAASGORDAS;ANTIOQUIA;A;OFICIAL;COMPLETA;59;53,38;51,71;52,08;53;48,59;9,1;12,32;11,04;8,9;10,12;20162
1552;I. E. GABRIEL CORREA VELEZ;5142;CARACOLI;ANTIOQUIA;A;OFICIAL;MANANA;33;54,45;50,87;51,21;52,96;49,81;7,71;9,22;8,98;7,74;8,37;20162
1578;LICEO JUAN PABLO GOMEZ OCHOA;5145;CARAMANTA;ANTIOQUIA;A;OFICIAL;COMPLETA;30;50,2;46,76;48,56;50,36;41,76;7,9;9,81;9,81;6,84;8,45;20162
1586;I. E. FRAY JULIO TOBON;5148;CARMEN DE VIBORAL;ANTIOQUIA;A;OFICIAL;MANANA;175;59,28;56,83;57,41;57,13;59;7,41;9,12;8,41;7,31;10,98;20162
1594;I. E. PBRO JULIO TAMAYO;5150;CAROLINA;ANTIOQUIA;A;OFICIAL;COMPLETA;35;56,08;52,62;55,22;54,91;49,48;8,8;8,79;7,97;7,25;7,87;20162
1602;LICEO CAUCASIA 1A. AGRUPACION;5154;CAUCASIA;ANTIOQUIA;A;OFICIAL;MANANA;296;55,07;55,21;52,44;54,42;52,29;8,98;11,77;10,03;9,69;9,07;20162
1610;LICEO CISNEROS;5190;CISNEROS;ANTIOQUIA;A;OFICIAL;TARDE;92;50,57;48,18;48,43;49,05;48,02;8,94;10,34;9,65;9,54;9,27;20162
1628;COLEGIO LO ANDES;5172;CHIGORODO;ANTIOQUIA;A;OFICIAL;TARDE;99;56,87;55,09;54,54;55,7;53,93;7,6;7,73;8,33;7,84;8,85;20162
1644;LICEO COCORNA;5197;COCORNA;ANTIOQUIA;A;OFICIAL;COMPLETA;83;54,43;53,74;50,27;54,66;56,57;8,88;11,06;9,88;8,8;10,59;20162
1651;I. E.  PRESBITERO LIBARDO AGUIRRE;5206;CONCEPCION;ANTIOQUIA;A;OFICIAL;COMPLETA;21;53,66;51,38;49,85;50,76;51,09;9,67;13,88;11,35;10,14;11,43;20162
1669;I. E. DE JESUS;5209;CONCORDIA;ANTIOQUIA;A;OFICIAL;COMPLETA;92;55,31;54,16;51,71;52,86;50,64;9,03;10,99;10,25;7,84;10,09;20162
1677;LICEO PBRO. BERNARDO MONTOYA GIRALDO;5212;COPACABANA;ANTIOQUIA;A;OFICIAL;MANANA;121;54,95;52,15;52,62;54,52;52,18;8,08;8,95;10;7,79;9,48;20162
1685;I. E. ESCUELA NORMAL SUPERIOR MARIA AUXILIADORA;5212;COPACABANA;ANTIOQUIA;A;OFICIAL;COMPLETA;117;64,01;63,5;63,2;62,82;67,56;6,56;8,46;7,22;6,21;7,81;20162
1693;COLEGIO COOPERATIVO JUAN DEL CORRAL;5212;COPACABANA;ANTIOQUIA;A;NO OFICIAL;COMPLETA;44;60,86;59,88;61,11;59,7;63,95;7,36;9,53;9,15;8,3;7,89;20162
1701;LICEO SAN LUIS GONZAGA;5212;COPACABANA;ANTIOQUIA;A;OFICIAL;MANANA;126;56,7;57,56;55,52;57,84;57,81;7,95;9,33;9,9;8,74;10,15;20162
1727;COLEGIO JUAN HENRIQUE  WHITE;5234;DABEIBA;ANTIOQUIA;A;OFICIAL;COMPLETA;50;53,4;54,22;52,6;52,04;49,36;8,75;9,57;9,17;7,89;9,18;20162
1735;COLEGIO DONMATIAS;5237;DON MATIAS;ANTIOQUIA;A;OFICIAL;COMPLETA;163;54,59;53,44;53,17;52,66;52,85;7,97;8,11;9,3;8,16;9,21;20162
1743;I. E. URBANA SAN JOSE;5240;EBEJICO;ANTIOQUIA;A;OFICIAL;COMPLETA;32;55,06;52,28;52,84;51,81;52,34;7,47;9,46;8,64;7,38;8,69;20162
1768;LICEO SAN LUIS BELTRAN;5264;ENTRERRIOS;ANTIOQUIA;A;OFICIAL;COMPLETA;81;53,82;53,67;53,56;53,01;51,24;8,72;8,95;8,65;6,66;8,43;20162
1776;COLEGIO BENEDICTINO DE SANTA MARIA;5266;ENVIGADO;ANTIOQUIA;A;NO OFICIAL;COMPLETA;53;65,96;67,67;65,2;66,45;78,35;7,32;8,09;7,46;7,81;8,52;20162
1784;COLOMBO BRITANICO;5266;ENVIGADO;ANTIOQUIA;A;NO OFICIAL;COMPLETA;111;65,78;72,11;66,37;68,87;79,04;7,58;6,54;7,49;5,88;7,67;20162
1792;COLEGIO DE LA PRESENTACION - ENVIGADO;5266;ENVIGADO;ANTIOQUIA;A;NO OFICIAL;COMPLETA;116;60,68;59,5;60,15;59,76;67,9;9,02;9,11;9,77;7,59;11,69;20162
1818;COLEGIO LA SALLE ENVIGADO;5266;ENVIGADO;ANTIOQUIA;A;NO OFICIAL;COMPLETA;153;61,54;63,71;61,98;61,41;68,3;8,4;9,84;8,78;8,1;11,1;20162
1826;UNIDAD EDUCATIVA SAN MARCOS;5266;ENVIGADO;ANTIOQUIA;A;NO OFICIAL;COMPLETA;117;64,04;64,93;63,45;62,09;69,86;7,79;9,29;8,64;7,88;10,84;20162
1834;COLEGIO TERESIANO;5266;ENVIGADO;ANTIOQUIA;A;NO OFICIAL;COMPLETA;71;65,64;65,19;65,45;63,59;72,76;6,48;6,33;6,11;5,92;8,39;20162
1867;INSTITUCION EDUCATIVA LA PAZ;5266;ENVIGADO;ANTIOQUIA;A;OFICIAL;MANANA;165;59,24;57,86;58,47;57,55;59,32;8,22;9,49;8,91;8,13;10,95;20162
1875;I. E.  LEON XIII;5541;PEOL;ANTIOQUIA;A;OFICIAL;MANANA;136;56,42;57,61;55,36;55,19;54,89;7,59;9,01;7,51;6,63;8,44;20162
1883;INSTITUCION EDUCATIVA MANUEL URIBE ANGEL;5266;ENVIGADO;ANTIOQUIA;A;OFICIAL;MANANA;127;55,95;53,88;55,73;53,16;56,98;8,27;10,07;9,41;8,78;10,78;20162
1891;LICEO FRANCISCO RESTREPO MOLINA;5266;ENVIGADO;ANTIOQUIA;A;NO OFICIAL;COMPLETA;165;60,15;60,15;60,39;60,08;63,24;7,91;8,95;8,91;7,59;11,96;20162
1909;I.E. NORMAL SUPERIOR DE ENVIGADO - SEDE PRINCIPAL;5266;ENVIGADO;ANTIOQUIA;A;OFICIAL;COMPLETA;209;59,56;58,08;58,77;57,94;62,33;8,67;9,63;9,84;8,61;11,5;20162
1917;I. E. ESCUELA NORMAL SUPERIOR MARIANO OSPINA RODRIGUEZ;5282;FREDONIA;ANTIOQUIA;A;OFICIAL;COMPLETA;34;54,85;52,14;51,7;52,52;52,76;9,2;9,28;8,62;7,15;7,63;20162
1925;COLEGIO EFE GOMEZ;5282;FREDONIA;ANTIOQUIA;A;OFICIAL;COMPLETA;73;53,82;51,6;51;51,01;50,08;9,17;10,92;10,89;9,01;10,45;20162
1933;I. E. PEDRO ANTONIO ELEJALDE;5284;FRONTINO;ANTIOQUIA;A;OFICIAL;COMPLETA;55;53,18;48,05;48,21;48,58;47,58;8,65;10,31;9,35;7,82;8,38;20162
1958;LICEO MANUEL JOSE SIERRA;5308;GIRARDOTA;ANTIOQUIA;A;OFICIAL;MANANA;80;53,18;49,73;50,82;52,38;51,37;8,79;10,3;9,86;8,5;9,51;20162
1966;LICEO DE GOMEZ PLATA;5310;GOMEZ PLATA;ANTIOQUIA;A;OFICIAL;COMPLETA;45;56,22;56,17;54,2;54,75;53,15;8,83;10,89;8,56;8,01;11,47;20162
1974;COLEGIO GRANADA;5313;GRANADA;ANTIOQUIA;A;OFICIAL;COMPLETA;62;56,04;56,67;51,67;52,9;53,67;8,07;10,53;8,54;8,54;9,39;20162
1982;I. E. SANTO TOMAS DE AQUINO;5318;GUARNE;ANTIOQUIA;A;OFICIAL;MANANA;130;56,93;58,83;55,1;56,98;57,86;8,16;9,98;10,32;8,02;11,7;20162
2006;COLEGIO EL ROSARIO;5360;ITAGUI;ANTIOQUIA;A;NO OFICIAL;MANANA;22;54,68;54,5;54;54,77;55,54;9,28;10,15;10,06;8,34;10,66;20162
2014;COLEGIO LA INMACULADA;5360;ITAGUI;ANTIOQUIA;A;NO OFICIAL;COMPLETA;53;65;62,66;62,15;62,52;69,15;6,58;7,99;6,6;6,01;13,07;20162
2022;COL SAN JUAN EUDES;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;MANANA;90;52,24;50,78;51,11;52,16;52,73;9,21;10,1;10,25;8,68;11,49;20162
2048;INSTITUTO CRISTO REY;5360;ITAGUI;ANTIOQUIA;A;NO OFICIAL;COMPLETA;36;55,77;55,75;55,11;57,5;59,13;8,72;9,52;12,04;8,27;12,27;20162
2055;INSTITUCION EDUCATIVA CONCEJO MUNICIPAL;5360;ITAGUI;ANTIOQUIA;A;OFICIAL;TARDE;153;59,35;60,47;56,9;57,97;61,5;8,64;10,36;9,2;8,41;10,1;20162
2063;INSTITUCION EDUCATIVA SAN JOSE;5360;ITAGUI;ANTIOQUIA;A;OFICIAL;MANANA;151;59,47;57,11;58,54;60,81;58,54;7,95;8,79;8,55;6,5;9,13;20162
2071;INSTITUCION EDUCATIVA ENRIQUE VELEZ;5360;ITAGUI;ANTIOQUIA;A;OFICIAL;MANANA;124;56,91;53,93;53,89;55,28;53,7;8,77;10,23;9,42;8,16;10,32;20162
2097;COLEGIO PEDRO NEL OSPINA;5361;ITUANGO;ANTIOQUIA;A;OFICIAL;COMPLETA;119;48,71;44,41;45,23;45,34;44,84;8,4;10,26;8,97;8,44;8,01;20162
